TEAM_ID_HOME,MIN_HOME,PTS_HOME,FGM_HOME,FGA_HOME,FG_PCT_HOME,FG3M_HOME,FG3A_HOME,FG3_PCT_HOME,FTM_HOME,FTA_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,PLUS_MINUS_HOME,IS_HOME_HOME,DAYS_SINCE_LAST_GAME_HOME,PTS_ROLL5_HOME,FG_PCT_ROLL5_HOME,REB_ROLL5_HOME,AST_ROLL5_HOME,TOV_ROLL5_HOME,TEAM_ID_AWAY,MIN_AWAY,PTS_AWAY,FGM_AWAY,FGA_AWAY,FG_PCT_AWAY,FG3M_AWAY,FG3A_AWAY,FG3_PCT_AWAY,FTM_AWAY,FTA_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY,PLUS_MINUS_AWAY,IS_HOME_AWAY,DAYS_SINCE_LAST_GAME_AWAY,PTS_ROLL5_AWAY,FG_PCT_ROLL5_AWAY,REB_ROLL5_AWAY,AST_ROLL5_AWAY,TOV_ROLL5_AWAY,HOME_WIN,POINT_DIFF,GAME_DAYOFWEEK,GAME_MONTH,GAME_DAY,GAME_YEAR,GAME_DAYOFYEAR
1610612737,241,78,26,75,0.347,6,27,0.222,20,23,0.87,7,25,32,18,9,1,18,15,-34.0,1,1.0,96.2,0.44259999999999994,36.2,23.8,14.0,1610612761,240,112,46,84,0.548,13,32,0.406,7,9,0.778,11,35,46,31,10,3,16,22,34.0,0,1.0,104.6,0.495,43.6,23.6,13.6,0,-34,5,11,25,2017,329
1610612737,240,114,41,79,0.519,12,31,0.387,20,24,0.833,8,21,29,24,9,4,17,20,-7.0,1,5.0,99.2,0.4516,35.0,23.8,14.8,1610612739,240,121,41,79,0.519,18,39,0.462,21,27,0.778,12,28,40,30,9,5,19,20,7.0,0,2.0,112.2,0.4944,41.8,24.4,13.0,0,-7,3,11,30,2017,334
1610612737,241,90,30,82,0.366,9,30,0.3,21,27,0.778,9,29,38,18,9,2,18,19,-20.0,1,2.0,102.4,0.4364,37.2,21.6,14.0,1610612751,240,110,41,85,0.482,15,36,0.417,13,15,0.867,12,40,52,29,7,6,22,28,20.0,0,2.0,104.4,0.45499999999999996,47.2,24.6,17.0,0,-20,0,12,4,2017,338
1610612737,240,117,41,80,0.513,17,33,0.515,18,25,0.72,9,31,40,33,7,6,12,13,7.0,1,3.0,108.2,0.4606,40.6,23.6,14.4,1610612753,240,110,45,92,0.489,13,34,0.382,7,8,0.875,10,29,39,39,7,2,12,24,-7.0,0,1.0,101.6,0.4492,43.0,23.4,14.4,1,7,5,12,9,2017,343
1610612737,238,91,32,70,0.457,11,31,0.355,16,26,0.615,7,27,34,28,6,6,16,12,-15.0,1,2.0,107.0,0.46959999999999996,39.0,26.8,14.0,1610612765,240,105,41,90,0.456,13,30,0.433,10,12,0.833,14,32,46,26,10,3,15,23,15.0,0,2.0,93.6,0.394,45.4,19.4,13.2,0,-14,3,12,14,2017,348
1610612737,241,110,38,83,0.458,8,22,0.364,26,31,0.839,10,29,39,25,8,6,12,23,6.8,1,3.0,103.2,0.461,36.0,25.6,14.0,1610612748,241,104,36,79,0.456,7,25,0.28,25,30,0.833,8,34,42,19,9,6,19,28,-8.0,0,2.0,100.0,0.4734,38.0,21.8,14.2,1,6,0,12,18,2017,352
1610612737,239,95,35,81,0.432,8,29,0.276,17,20,0.85,11,32,43,27,5,6,13,17,-10.0,1,2.0,100.8,0.45120000000000005,37.6,26.6,13.6,1610612754,240,105,40,82,0.488,7,21,0.333,18,19,0.947,8,29,37,19,5,5,9,18,10.0,0,2.0,103.6,0.4746,42.2,18.6,12.4,0,-10,2,12,20,2017,354
1610612737,242,112,42,75,0.56,10,24,0.417,18,22,0.818,6,32,38,29,5,2,15,19,5.0,1,1.0,105.6,0.48200000000000004,36.4,27.2,14.4,1610612742,240,107,43,85,0.506,9,33,0.273,12,15,0.8,7,23,30,31,8,3,10,17,-5.0,0,1.0,101.0,0.4796,33.8,25.0,10.8,1,5,5,12,23,2017,357
1610612737,241,113,41,94,0.436,11,37,0.297,20,29,0.69,16,37,53,28,7,7,11,21,14.0,1,4.0,109.4,0.48080000000000006,40.0,27.4,13.2,1610612764,240,99,35,81,0.432,9,24,0.375,20,26,0.769,9,31,40,24,6,5,13,24,-14.0,0,2.0,108.0,0.4614,43.0,26.0,12.0,1,14,2,12,27,2017,361
1610612737,241,104,40,89,0.449,14,30,0.467,10,15,0.667,13,32,45,29,12,3,13,16,15.0,1,1.0,108.8,0.479,42.2,27.0,14.4,1610612757,241,89,36,85,0.424,7,25,0.28,10,13,0.769,15,31,46,19,9,8,20,18,-15.0,0,2.0,94.8,0.42400000000000004,42.2,17.2,12.6,1,15,5,12,30,2017,364
